equipment,Parameter,Deviation,Type of Cause,Possible Cause,Type of Consequence,Consequence,Type of Safeguard,Safeguard/Protection,No,Action,On
Batch reactor ,Quantity,No B is added—step omitted,Operator/Human Error ,"Operator error, e.g., shift handover. MV307 closed after maintenance",Production Loss,Spoilt batch,Adminstrative Safeguard,Detected at sampling and can easily be corrected. Batch sheet requires analysis to be signed off by supervisor,1.1,Start-up check to confirm that MV307 is open,TB
,,,,,,,,,1.2,Operating procedure to include a sight glass check that flow is established,
,Quantity,Excess of B is added,Poor Maintenance,F2 not fully emptied from last batch,Production Loss,Excess of B in product; batch will be out of specification,Adminstrative Safeguard,Detected at sampling but a special procedure will then be required,2.1,Operating procedure to include a check on vessel F2 before B is measured out,TB
,Quantity,Too little of B is added,Blockage ,Blockage in line or at OP1,Production Loss,Batch out of specification and process delay,Active Safeguard,Detected at sampling,3.1,Check procedure for clearing line and OP1 when transfer line holds component B,FL
,,,,,,,,,3.2,Batch sheet to require a check that F2 is empty at end of the addition stage,TB
,Quantity,Too much of A is present,Operator/Human Error ,Error at earlier stage resulting in small excess (double charging covered in HAZOP of addition step),Production Loss,Batch out of specification and process delay,Active Safeguard,Detected at sampling,4.1,Check that procedure will be written to cover this case and include in training program,JH
,Quantity,Too little A is present,Operator/Human Error ,Error at earlier stage resulting in small deficiency,Production Loss,Batch out of specification and process delay. Not easily corrected,Active Safeguard,Detected at sampling,5.1,"Evaluate likelihood of this deviation and, if necessary, draw up procedure",MS
,Flow (rate),Too fast,Equipment Failure/Damage,Corrosion/erosion of OP1,Operating Condition Issues ,Reaction rate and heat release increased. May eventually exceed vessel cooling capacity leading to over-temperature,Active Safeguard,Independent alarms TICA 32/33 located in a manned control room,6.1,Check that OP1 material is compatible with component B,BT
,Flow (rate),Too fast,Poor Maintenance,Wrong OP fitted at OP1 after maintenance,Operating Condition Issues ,"Could quickly exceed the vessel cooling capacity, causing a reaction runaway and demand on BD2",Active Safeguard,TICA32/33 located in a manned control and BD2 relieving to dump tank. Good control of maintenance,7.1,7.1 Specify OP1 size in operating procedure and ensure problem is covered in operator training,TB
,,,,,,,,,7.2,7.2 Confirm flowrate at OP1 at the water trials stage,FL
,,,,,,,,,7.3,7.3 Control sequence to include trip closure of AV203 and fully open CV303 in the event of over-temperature,AW
,Flow (rate),Too fast,Operator/Human Error ,MV306 is open and so orifice plate OP1 is bypassed,Operating Condition Issues ,Will very quickly exceed the vessel cooling capacity and lead to a reaction runaway and demand on BD2,Active Safeguard,TICA32/33 to manned control room and BD2 relief to dump tank. BD2 is sized for addition at maximum possible flow rate in a 25 mm line,8.1,8.1 MV306 to be locked closed as it is not used in this process,FL
,,,,,,,,,8.2,8.2 Include sensing of BD action to give alarm and to close AV203,AW
,,,,,,,,,8.3,8.3 Consider removal of OP2 from the cooling water inlet line so full cooling capacity will be available. Take into account the original purpose of OP2 in controlling heating rates/cooling profiles/blowdown of condensate,FL
,Flow (rate),Too slow,Blockage ,Partial blockage in line or at orifice plate OP1,Production Loss,Batch time extended,Adminstrative Safeguard,Operator will note problem when seeking to move to next stage,9.1,Covered by actions 3.1 and 3.2,FL
,Flow,Elsewhere,Leakage ,Crack or leak at BD2 (action 8.2 only detects full burst),Damage to Human Health/Environment,Loss of contaminated nitrogen to dump tank and eventually to atmosphere,No safeguard,None,10.1,Put BD2 on a regular checking schedule,FL
,Temperature,High,Control system Failure,Control problem or faulty temperature signal (reads low),Operating Condition Issues ,"Overheating will occur, with contributions from the heating system. Most serious condition would be common effect since both temperature probes are in the same pocket in F2",No safeguard,None unless the fault also leads to a low temperature alarm when operator intervention could be expected,11.1,Check whether it is possible to physically separate the two temperature probes (control and protection) to reduce common cause effects,FL
,Temperature,High,Leakage ,Loss of cooling water (a low probability event),Operating Condition Issues ,Overheating. Runaway if cooling water is not restored or the addition halted,Active Safeguard,TICA32/33 are located in the manned control room and BD2 relieves to dump tank,12.1,Covered by action 7.3,AW
,Temperature,High,Operator/Human Error ,Jacket not switched from steam to cooling water after earlier step,Operating Condition Issues ,Overheating with possible reaction runaway,Active Safeguard,TICA32/33 to manned control room and BD2 relieves to dump tank,13.1,Control program to include checks that valve CV301 on the steam line is closed,AW
,Temperature,Low,Control system Failure,Control problem or faulty temperature signal (reads high),Production Loss,Poor quality batch. Extreme outcome is cessation of reaction and accumulation of unreacted B,Active Safeguard,TAL from TICA 32,14.1,14.1 Take TAL from both the control and the protection temperature sensors,AW
,,,,,,,,,14.2,14.2 Determine suitable interval for calibration checks on TICs,FL
,Pressure,High/low,No causes,No causes identified in addition to the runaway situations discussed above,,,,,,,
,Reaction rate,High/low,No causes,No additional causes found,,,,,,,
,Mix,No mixing,Equipment Failure/Damage,Mechanical coupling fails or agitator blade becomes detached,Operating Condition Issues ,Risk of accumulation of unmixed B leading to uncontrolled reaction,Active Safeguard,Possibly detected by low motor current alarm,17.1,Add a rotation sensor to the shaft of the stirrer; interlock to reactant feed valve AV203,AW
,Mix,No mixing,Equipment Failure/Damage,Motor failure,Operating Condition Issues ,Risk of accumulation of unmixed B leading to uncontrolled reaction,Active Safeguard,Alarm on motor current (low),18.1,18.1 Existing safeguard adequate provided action 17.1 is implemented,AW
,,,,,,,,,18.2,18.2 Develop a safe operating procedure for restarting a batch after accumulation has occurred,BT
,Mix,Less mixing,Incorrect Operating Conditions,Viscous mixture formed,Production Loss,Stirring becomes inefficient and unmixed B may accumulate,Active Safeguard,May be alarmed by sensor added in action 17.1,19.1,"Check viscosity under extreme conditions to decide if action is needed. If so, include an alarm on high motor current",BT
,Mix,Reverse,Poor Maintenance,Incorrect connection after maintenance,Production Loss,Stirring becomes inefficient and unmixed B may accumulate,No safeguard,None,20.1,Include a check on stirrer operation in the commissioning trials and in the maintenance procedures,TB
,Composition,Part of,Incorrect Operating Conditions,Wrong ratio of reactants covered under high/low quantity,,,,,,,
,Composition,As well as,Operator/Human Error ,Wrong drum used when charging component B,Production Loss,Unpredictable but minimum will be a spoilt batch,,Covered in HAZOP of the charging step,22.1,Review actions from earlier HAZOP and ensure that the purchasing department specifies a distinct drum color,MS
,Control,None,Control system Failure,Complete loss of control computer,Operating Condition Issues ,System moves to fail safe condition,Design Considerations,Design assumes a period of operation of the computer on its UPS. Ultimate protection is provided by BD2,23.1,"Check that fail safe settings include isolation of feed of B, continued stirring and full cooling to vessel jacket",AW
,Control,Part of,Instrumentation Failure,Selective failure. Most serious: loss of temperature sensors/control,Operating Condition Issues ,Possible undetected overheating,Design Considerations,Ultimate protection is provided by BD2,24.1,Check that the temperature sensors connect to different input boards,AW
,,,,,,,,,24.2,Include temperature comparison (TICA32/22) in the checks and add a difference alarm,AW
,Operator action,Sooner,Operator/Human Error ,Step started early,Operating Condition Issues ,Starting temperature is low. Reactant may accumulate and then cause runaway reaction once mixing starts,Design Considerations,Ultimate protection is provided by BD2,25.1,Specify the lowest safe starting temperature,BT
,,,,,,,,,25.2,Provide software interlock to prevent low temperature start,AW
,Operator action,Part of,Operator/Human Error ,Workout period is shortened if the addition is slow (for any reason),No consequence,Uncertain—basis for inclusion of the workout period is not clear,,,26.1,Carry out further laboratory work to determine the importance of the workout and to define the minimum allowable time,BT
,Services,Loss of instrument air,,,Equipment Damage,All valves move to assigned failure positions,,,27.1,Review the failure modes of all valves to ensure specification is correct,JH
,Services,Power loss,External Power Failure ,"Unpredicted failure, cut cable, and so on",Equipment Damage,Stirrer stops. Computer moves plant to a safe hold position,Design Considerations,Computer has its own UPS,28.1,Include this condition in the check under 27.1,AW
,,,,,,,,,28.2,Consider need for planned restart procedure after such an interruption,JH
,Maintenance,Work on AV203,Instrumentation Failure,Valve problem on AV203 during the transfer,Production Loss,AV203 cannot be isolated from F2 for safe maintenance,,None,29.1,Put additional manual valves in the F2/F3 line,FL
,,,,,,,,,29.2,"As a general action, review the P&ID to ensure all key items can be isolated",FL
,Vessel entry (F3),Other activity,Poor Maintenance,Inspection or other requirement for entry to vessel,Damage to Human Health/Environment,"Risk to operator from inert atmosphere, especially nitrogen",Design Considerations,Spades installed on all lines,30.1,"Review the isolation of F3, including possible insertion of flexible section into the nitrogen line so it can be disconnected and blanked off. Need to cover F2 as well since it has its own nitrogen supply and is linked to F3",MS
,Drainage,Leak of B,Leakage ,Leaking flange on transfer line from F2 to F3,Production Loss,Some loss of component B into process area,Passive Safeguard,All spillages in this area run to a common sump,31.1,Check the materials in use on adjacent units for potential incompatibility,FL
,,,,,,,,,31.2,Operating procedure to include a routine inspection of the transfer line at the stage of the process,TB
,pH,High/low,Operator/Human Error ,Imbalance in quantities of A or caustic added previously,Production Loss,Batch quality affected unless initial pH is range 10—11.5,No safeguard,None,32.1,Operating procedure to include a check on pH before this step is initiated,TB
,,,,,,,,,32.2,Consider need for a procedure for correction of pH,BT
,Trip action,Out of range condition,,Any,Operating Condition Issues ,Control system moves the plant to a predetermined state based on the trip signals,,,33.1,Prepare matrix to show which valves act in each trip scenario. Review the matrix at next HAZOP meeting,JH
,Operator PPE,Exposure,Leakage ,Leakage or spillage,Equipment Damage,Contamination,Adminstrative Safeguard,Standard procedures,34.1,Confirm that procedures exist for all materials handled in the process,TB
